Ref,Status,Design ,Type ,Mode,Year,Outstanding Benefits-RiskScore,Membership,Net Assets,AssetPerMember,ExpensesToNetAssetsRatio,Liquidity Ratio,Overall Risk Score,ReturnOn Investment,UnremmittedContributions/Total Assets,Compliance toTable G,Inflation,Interest_rates,Exchange_rates
1885,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,3343," 1,203,957,624.00 "," 360,142.87 ",1%,144%,#N/A,7%,0%,0,7%,13%,103.78
1885,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,3448," 1,602,641,515.00 "," 464,803.22 ",1%,7%,#N/A,6%,0%,0,7%,10%,101.78
1885,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,3610," 2,147,529,725.00 "," 594,883.58 ",1%,8%,#N/A,11%,0%,0,5%,10%,103.37
1885,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,4075," 3,316,867,680.00 "," 813,955.26 ",1%,9%,#N/A,5%,0%,0,5%,9%,102.55
1885,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,4124," 3,951,083,026.00 "," 958,070.57 ",1%,9%,#N/A,5%,0%,0,5%,7%,109.51
1885,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,5,4637," 5,067,623,613.00 "," 1,092,866.86 ",1%,6%,4,12%,0%,1,6%,7%,111.93
1885,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,5,4819," 5,663,894,933.00 "," 1,175,325.78 ",1%,15%,2.96,1%,0%,1,9%,9%,121.95
1885,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,5,5085," 6,557,928,707.00 "," 1,289,661.50 ",1%,16%,3.66,4%,0%,1,7%,13%,151.77
1885,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,5,5236," 8,026,504,771.00 "," 1,532,945.91 ",1%,11%,2.82,10%,0%,1,#N/A,#N/A,151.77
1886,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,1769," 1,285,657,212.00 "," 726,770.61 ",1%,-145%,#N/A,12%,0%,0,7%,10%,101.78
1886,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,0," 1,689,854,183.00 ", -   ,1%,25%,#N/A,8%,0%,0,7%,13%,103.78
1886,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,1917," 2,145,097,495.00 "," 1,118,986.70 ",1%,14%,#N/A,4%,0%,0,7%,10%,101.78
1886,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,2105," 2,777,723,885.00 "," 1,319,583.79 ",1%,17%,#N/A,11%,0%,0,5%,10%,103.37
1886,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,2067," 3,462,731,013.00 "," 1,675,244.81 ",1%,17%,#N/A,10%,0%,0,6%,9%,101.88
1886,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,2018," 4,128,985,319.00 "," 2,046,077.96 ",1%,22%,#N/A,8%,0%,0,5%,9%,102.55
1886,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,2036," 4,744,807,971.00 "," 2,330,455.78 ",1%,27%,#N/A,6%,0%,0,5%,7%,109.51
1886,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,1,2011," 5,813,138,385.00 "," 2,890,670.50 ",1%,17%,2.68,13%,0%,5,6%,7%,111.93
1886,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,5,1948," 5,508,625,690.00 "," 2,827,836.60 ",1%,2298%,2.84,-10%,0%,1,9%,9%,121.95
1886,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,5,1936," 6,173,054,369.00 "," 3,188,561.14 ",1%,39%,2.94,8%,0%,1,7%,13%,151.77
1886,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,5,2155," 7,399,808,854.00 "," 3,433,786.01 ",1%,23%,3.69,11%,0%,1,#N/A,#N/A,151.77
1887,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,0, -   , -   ,0%,0%,#N/A,#DIV/0!,0%,0,7%,10%,101.78
1887,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,1672," 122,896,825.00 "," 73,502.89 ",0%,22%,#N/A,4%,0%,0,7%,13%,103.78
1887,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,1116," 229,074,429.00 "," 205,263.83 ",0%,16%,#N/A,19%,1%,0,7%,10%,101.78
1887,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,2383," 327,606,588.00 "," 137,476.54 ",0%,0%,#N/A,8%,6%,0,5%,10%,103.37
1887,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,1456," 613,406,866.00 "," 421,295.92 ",0%,-90%,#N/A,3%,4%,0,6%,9%,101.88
1887,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,2354," 793,183,811.00 "," 336,951.49 ",0%,18%,#N/A,7%,3%,0,5%,9%,102.55
1887,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,2508," 918,729,102.00 "," 366,319.42 ",0%,34%,#N/A,5%,1%,0,5%,7%,109.51
1887,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,2643," 1,046,882,327.00 "," 396,096.23 ",0%,41%,3.44,6%,0%,5,6%,7%,111.93
1887,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,2539," 1,208,090,746.00 "," 475,813.61 ",0%,40%,3.06,7%,0%,5,9%,9%,121.95
1887,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,2715," 1,322,935,504.00 "," 487,269.06 ",0%,47%,3.06,2%,2%,5,7%,13%,151.77
1887,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,2963," 1,537,347,448.00 "," 518,848.28 ",0%,45%,2.82,12%,1%,1,#N/A,#N/A,151.77
1888,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,72," 38,352,692.00 "," 532,676.28 ",0%,40%,#N/A,5%,7%,0,7%,10%,101.78
1888,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,85," 48,244,902.00 "," 567,587.08 ",0%,31%,#N/A,6%,0%,0,7%,13%,103.78
1888,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,38," 45,130,358.00 "," 1,187,641.00 ",0%,122%,#N/A,9%,0%,0,7%,10%,101.78
1888,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,60," 42,315,698.00 "," 705,261.63 ",0%,131%,#N/A,9%,0%,0,5%,10%,103.37
1888,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,47," 48,283,389.00 "," 1,027,306.15 ",0%,52%,#N/A,7%,3%,0,6%,9%,101.88
1888,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,41," 54,572,258.00 "," 1,331,030.68 ",0%,57%,#N/A,6%,19%,0,5%,9%,102.55
1888,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,0," 51,453,777.00 ", -   ,0%,177%,#N/A,5%,58%,0,5%,7%,109.51
1888,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,104," 48,347,820.00 "," 464,882.88 ",0%,226%,3.44,5%,31%,5,6%,7%,111.93
1888,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,22," 41,166,786.00 "," 1,871,217.55 ",1%,521%,4.24,4%,45%,5,9%,9%,121.95
1888,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,22," 40,568,696.00 "," 1,844,031.64 ",0%,131%,4.24,5%,46%,5,7%,13%,151.77
1888,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,22," 36,273,637.00 "," 1,648,801.68 ",0%,291%,3.98,6%,51%,1,#N/A,#N/A,151.77
1889,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,934," 1,360,199,967.00 "," 1,456,316.88 ",1%,-33%,#N/A,10%,0%,0,7%,10%,101.78
1889,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,0," 1,521,546,924.00 ", -   ,1%,31%,#N/A,9%,0%,0,7%,13%,103.78
1889,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,934," 1,694,171,930.00 "," 1,813,888.58 ",1%,26%,#N/A,5%,0%,0,7%,10%,101.78
1889,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,917," 2,023,426,242.00 "," 2,206,571.69 ",1%,27%,#N/A,13%,0%,0,5%,10%,103.37
1889,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,876," 2,388,144,220.00 "," 2,726,192.03 ",1%,21%,#N/A,11%,0%,0,6%,9%,101.88
1889,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,839," 2,645,778,240.00 "," 3,153,490.15 ",1%,43%,#N/A,10%,0%,0,5%,9%,102.55
1889,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,794," 2,798,044,502.00 "," 3,523,985.52 ",1%,63%,#N/A,8%,0%,0,5%,7%,109.51
1889,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,5,919," 3,099,021,663.00 "," 3,372,167.21 ",1%,51%,4.2,14%,0%,1,6%,7%,111.93
1889,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,5,764," 3,137,214,494.00 "," 4,106,301.69 ",1%,80%,3.55,0%,1%,1,9%,9%,121.95
1889,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,5,697," 3,147,400,791.00 "," 4,515,639.59 ",1%,98%,3.79,6%,0%,1,7%,13%,151.77
1889,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,5,685," 3,176,916,281.00 "," 4,637,833.99 ",1%,95%,3.59,12%,0%,1,#N/A,#N/A,151.77
189,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,1365," 594,015,887.00 "," 435,176.47 ",1%,26%,#N/A,7%,0%,0,7%,10%,101.78
189,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,1190," 671,718,958.00 "," 564,469.71 ",1%,24%,#N/A,3%,0%,0,7%,13%,103.78
189,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,1303," 756,652,509.00 "," 580,700.31 ",1%,23%,#N/A,5%,0%,0,7%,10%,101.78
189,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,1294," 895,017,066.00 "," 691,666.98 ",1%,17%,#N/A,8%,0%,0,5%,10%,103.37
189,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,1298," 1,017,398,316.00 "," 783,819.97 ",1%,24%,#N/A,5%,0%,0,6%,9%,101.88
189,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,1309," 1,184,735,858.00 "," 905,069.41 ",1%,19%,#N/A,9%,0%,0,5%,9%,102.55
189,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,1296," 1,312,573,762.00 "," 1,012,788.40 ",1%,25%,#N/A,6%,0%,0,5%,7%,109.51
189,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,945," 1,468,756,601.00 "," 1,554,239.79 ",1%,38%,2.71,9%,0%,5,6%,7%,111.93
189,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,1235," 1,644,277,175.00 "," 1,331,398.52 ",1%,30%,2.43,8%,0%,5,9%,9%,121.95
189,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,1486," 1,852,920,003.00 "," 1,246,917.90 ",1%,17%,2.25,6%,0%,5,7%,13%,151.77
189,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,1764," 2,203,205,032.00 "," 1,248,982.44 ",1%,16%,2.01,11%,0%,1,#N/A,#N/A,151.77
1890,Active,Defined Contribution,Provident Fund,Both Segregated and Guaranteed funds,2016,0,187," 334,055,023.00 "," 1,786,390.50 ",2%,26%,#N/A,6%,0%,0,7%,10%,101.78
1890,Active,Defined Contribution,Provident Fund,Both Segregated and Guaranteed funds,2017,0,184," 403,003,568.00 "," 2,190,236.78 ",2%,22%,#N/A,14%,0%,0,5%,10%,103.37
1890,Active,Defined Contribution,Provident Fund,Both Segregated and Guaranteed funds,2018,0,175," 406,297,503.00 "," 2,321,700.02 ",2%,92%,#N/A,3%,0%,0,6%,9%,101.88
1890,Active,Defined Contribution,Provident Fund,Both Segregated and Guaranteed funds,2019,0,176," 454,593,981.00 "," 2,582,920.35 ",3%,44%,#N/A,12%,0%,0,5%,9%,102.55
1890,Active,Defined Contribution,Provident Fund,Both Segregated and Guaranteed funds,2020,0,163," 414,995,487.00 "," 2,545,984.58 ",2%,188%,#N/A,3%,0%,0,5%,7%,109.51
1890,Active,Defined Contribution,Provident Fund,Both Segregated and Guaranteed funds,2021,1,159," 428,376,782.00 "," 2,694,193.60 ",3%,82%,3.48,10%,0%,1,6%,7%,111.93
1890,Active,Defined Contribution,Provident Fund,Both Segregated and Guaranteed funds,2022,1,178," 432,762,173.00 "," 2,431,248.16 ",2%,92%,3.36,4%,0%,1,9%,9%,121.95
1890,Active,Defined Contribution,Provident Fund,Both Segregated and Guaranteed funds,2023,1,172," 458,946,796.00 "," 2,668,295.33 ",2%,47%,3.28,2%,0%,1,7%,13%,151.77
1890,Active,Defined Contribution,Provident Fund,Both Segregated and Guaranteed funds,2024,5,172," 573,341,079.00 "," 3,333,378.37 ",2%,24%,4.04,18%,0%,1,#N/A,#N/A,151.77
1891,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,40," 26,638,946.00 "," 665,973.65 ",1%,-323%,#N/A,8%,0%,0,5%,7%,109.51
1891,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,46," 44,179,508.00 "," 960,424.09 ",1%,8%,3.52,6%,0%,5,6%,7%,111.93
1891,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,43," 53,195,127.00 "," 1,237,095.98 ",1%,33%,3.28,8%,0%,5,9%,9%,121.95
1891,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,40," 65,151,126.00 "," 1,628,778.15 ",1%,11%,3.36,6%,0%,5,7%,13%,151.77
1891,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,39," 78,847,652.00 "," 2,021,734.67 ",1%,18%,2.44,8%,0%,1,#N/A,#N/A,151.77
1892,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,70," 23,309,791.00 "," 332,997.01 ",1%,8%,#N/A,12%,0%,0,7%,10%,101.78
1892,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,69," 33,409,435.00 "," 484,194.71 ",1%,7%,#N/A,6%,0%,0,7%,13%,103.78
1892,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,80," 45,781,871.00 "," 572,273.39 ",1%,6%,#N/A,7%,0%,0,7%,10%,101.78
1892,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,80," 59,065,133.00 "," 738,314.16 ",1%,12%,#N/A,8%,0%,0,5%,10%,103.37
1892,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,80," 70,652,629.00 "," 883,157.86 ",1%,17%,#N/A,5%,0%,0,6%,9%,101.88
1892,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,76," 86,755,766.00 "," 1,141,523.24 ",1%,27%,#N/A,9%,0%,0,5%,9%,102.55
1892,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,75," 102,882,513.00 "," 1,371,766.84 ",1%,29%,#N/A,5%,0%,0,5%,7%,109.51
1892,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,67," 129,944,443.00 "," 1,939,469.30 ",1%,22%,2.64,8%,0%,5,6%,7%,111.93
1892,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,63," 146,999,146.00 "," 2,333,319.78 ",0%,42%,2.56,8%,0%,5,9%,9%,121.95
1892,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,70," 173,585,437.00 "," 2,479,791.96 ",1%,11%,2.56,6%,0%,5,7%,13%,151.77
1892,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,67," 205,331,291.00 "," 3,064,646.13 ",0%,22%,2.22,11%,0%,1,#N/A,#N/A,151.77
1893,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,0," 1,995,212,454.00 ", -   ,2%,18%,#N/A,12%,1%,0,7%,10%,101.78
1893,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,1476," 1,081,173,786.00 "," 732,502.57 ",2%,-174%,#N/A,14%,6%,0,5%,10%,103.37
1893,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,1493," 1,529,277,754.00 "," 1,024,298.56 ",6%,19%,#N/A,12%,2%,0,5%,9%,102.55
1893,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,1704," 1,932,340,035.00 "," 1,134,002.37 ",3%,15%,#N/A,7%,3%,0,5%,7%,109.51
1893,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,5,1878," 2,546,650,238.00 "," 1,356,043.79 ",3%,14%,4.31,12%,1%,1,6%,7%,111.93
1893,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,5,1888," 2,861,550,567.00 "," 1,515,651.78 ",3%,30%,4.04,1%,1%,1,9%,9%,121.95
1893,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,5,1827," 3,386,375,938.00 "," 1,853,517.21 ",2%,24%,3.88,7%,0%,1,7%,13%,151.77
1893,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,5,0," 4,053,984,894.00 ", -   ,2%,25%,3.1,10%,0%,1,#N/A,#N/A,151.77
1895,Transitioning,Defined Contribution,Pension Scheme,Segregated funds,2023,#N/A,0, -   , -   ,0%,0%,#N/A,#DIV/0!,0%,#N/A,7%,13%,151.77
1895,Transitioning,Defined Contribution,Pension Scheme,Segregated funds,2024,#N/A,0, -   , -   ,0%,0%,#N/A,#DIV/0!,0%,#N/A,#N/A,#N/A,151.77
1896,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,0," 181,115,740.00 ", -   ,0%,10%,#N/A,7%,0%,0,7%,10%,101.78
1896,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,0," 238,355,054.00 ", -   ,0%,4%,#N/A,8%,0%,0,5%,10%,103.37
1896,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,174," 300,217,617.00 "," 1,725,388.60 ",0%,10%,#N/A,8%,0%,0,6%,9%,101.88
1896,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,171," 375,412,331.00 "," 2,195,393.75 ",0%,9%,#N/A,9%,0%,0,5%,9%,102.55
1896,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,170," 539,543,395.00 "," 3,173,784.68 ",0%,11%,3.49,8%,0%,5,6%,7%,111.93
1896,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,173," 610,642,445.00 "," 3,529,725.12 ",0%,22%,2.71,6%,0%,5,9%,9%,121.95
1896,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,5,173," 712,951,566.00 "," 4,121,107.32 ",0%,12%,3.31,9%,0%,5,7%,13%,151.77
1896,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,168," 825,817,529.00 "," 4,915,580.53 ",1%,21%,3.06,10%,0%,1,#N/A,#N/A,151.77
1897,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,294," 141,439,317.00 "," 481,086.11 ",0%,5%,#N/A,9%,0%,0,7%,10%,101.78
1897,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,102," 135,253,558.00 "," 1,326,015.27 ",0%,123%,#N/A,5%,0%,0,7%,13%,103.78
1897,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,154," 136,145,492.00 "," 884,061.64 ",0%,96%,#N/A,5%,2%,0,7%,10%,101.78
1897,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,99," 151,338,447.00 "," 1,528,671.18 ",0%,100%,#N/A,4%,2%,0,5%,10%,103.37
1897,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,102," 166,776,282.00 "," 1,635,061.59 ",0%,61%,#N/A,4%,0%,0,6%,9%,101.88
1897,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,254," 177,546,424.00 "," 699,001.67 ",0%,85%,#N/A,5%,0%,0,5%,9%,102.55
1897,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,236," 183,493,036.00 "," 777,512.86 ",0%,97%,#N/A,5%,0%,0,5%,7%,109.51
1897,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,279," 196,623,808.00 "," 704,744.83 ",0%,88%,2.72,5%,0%,5,6%,7%,111.93
1897,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,310," 207,913,106.00 "," 670,687.44 ",0%,94%,2.5,5%,0%,5,9%,9%,121.95
1897,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,166," 242,773,751.00 "," 1,462,492.48 ",0%,41%,2.56,9%,0%,5,7%,13%,151.77
1897,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,171," 243,250,304.00 "," 1,422,516.40 ",0%,99%,2.24,5%,0%,1,#N/A,#N/A,151.77
1898,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,0," 157,356,746.00 ", -   ,0%,63%,#N/A,5%,17%,0,7%,10%,101.78
1898,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,147," 174,983,795.00 "," 1,190,365.95 ",1%,16%,#N/A,4%,44%,0,7%,13%,103.78
1898,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,137," 177,089,852.00 "," 1,292,626.66 ",1%,90%,#N/A,4%,52%,0,7%,10%,101.78
1898,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,127," 184,462,283.00 "," 1,452,458.92 ",1%,72%,#N/A,7%,0%,0,5%,10%,103.37
1898,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,130," 225,476,422.00 "," 1,734,434.02 ",2%,27%,#N/A,7%,0%,0,6%,9%,101.88
1898,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,129," 258,130,202.00 "," 2,001,009.32 ",2%,18%,#N/A,9%,0%,0,5%,9%,102.55
1898,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,191," 294,252,549.00 "," 1,540,589.26 ",1%,63%,3.54,4%,0%,5,6%,7%,111.93
1898,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,176," 318,075,324.00 "," 1,807,246.16 ",1%,76%,3.28,6%,0%,5,9%,9%,121.95
1898,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,167," 337,425,820.00 "," 2,020,513.89 ",1%,61%,3.28,9%,0%,5,7%,13%,151.77
1898,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,166," 361,612,003.00 "," 2,178,385.56 ",1%,59%,3.57,11%,0%,1,#N/A,#N/A,151.77
1899,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,34," 6,643,671.00 "," 195,402.09 ",0%,-440%,#N/A,3%,0%,0,7%,10%,101.78
1899,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,42," 5,773,938.00 "," 137,474.71 ",0%,152%,#N/A,14%,0%,0,7%,13%,103.78
1899,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,38," 6,689,085.00 "," 176,028.55 ",0%,35%,#N/A,9%,0%,0,7%,10%,101.78
1899,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,39," 9,445,433.00 "," 242,190.59 ",0%,-168%,#N/A,2%,0%,0,5%,10%,103.37
1899,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,39," 10,701,092.00 "," 274,386.97 ",0%,3%,#N/A,7%,0%,0,6%,9%,101.88
1899,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,34," 12,017,243.00 "," 353,448.32 ",0%,29%,#N/A,12%,0%,0,5%,9%,102.55
1899,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,33," 11,438,488.00 "," 346,620.85 ",0%,136%,#N/A,11%,0%,0,5%,7%,109.51
1899,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,26," 11,572,474.00 "," 445,095.15 ",1%,78%,2.8,3%,0%,5,6%,7%,111.93
1899,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,19," 10,124,728.00 "," 532,880.42 ",3%,427%,3.4,3%,0%,5,9%,9%,121.95
1899,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,27," 7,958,680.00 "," 294,765.93 ",1%,775%,3.3,4%,0%,5,7%,13%,151.77
1899,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,27," 4,685,146.00 "," 173,523.93 ",2%,422%,3.07,22%,0%,1,#N/A,#N/A,151.77
1900,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,533," 259,079,040.00 "," 486,077.00 ",2%,7%,#N/A,8%,0%,0,7%,10%,101.78
1900,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,495," 375,201,197.00 "," 757,982.22 ",2%,17%,#N/A,7%,0%,0,7%,13%,103.78
1900,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,481," 452,069,625.00 "," 939,853.69 ",2%,23%,#N/A,5%,0%,0,7%,10%,101.78
1900,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,450," 610,005,258.00 "," 1,355,567.24 ",1%,20%,#N/A,13%,0%,0,5%,10%,103.37
1900,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,473," 770,893,257.00 "," 1,629,795.47 ",1%,20%,#N/A,11%,0%,0,6%,9%,101.88
1900,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,472," 921,484,260.00 "," 1,952,297.16 ",2%,31%,#N/A,9%,0%,0,5%,9%,102.55
1900,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,467," 1,040,028,348.00 "," 2,227,041.43 ",1%,39%,#N/A,6%,0%,0,5%,7%,109.51
1900,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,1,431," 1,187,395,050.00 "," 2,754,976.91 ",1%,50%,2.62,14%,0%,1,6%,7%,111.93
1900,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,1,516," 1,210,725,499.00 "," 2,346,367.25 ",1%,83%,3.04,1%,0%,5,9%,9%,121.95
1900,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,1,482," 1,316,557,600.00 "," 2,731,447.30 ",2%,57%,3.04,8%,0%,5,7%,13%,151.77
1900,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,1,571," 1,526,246,006.00 "," 2,672,935.21 ",1%,37%,3.26,12%,0%,5,#N/A,#N/A,151.77
1902,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,137," 335,423,605.00 "," 2,448,347.48 ",1%,-278%,#N/A,13%,0%,0,7%,10%,101.78
1902,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,137," 376,056,584.00 "," 2,744,938.57 ",1%,26%,#N/A,2%,0%,0,7%,13%,103.78
1902,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,134," 447,778,792.00 "," 3,341,632.78 ",1%,13%,#N/A,7%,0%,0,7%,10%,101.78
1902,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,138," 567,804,261.00 "," 4,114,523.63 ",1%,13%,#N/A,15%,0%,0,5%,10%,103.37
1902,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,130," 604,421,569.00 "," 4,649,396.68 ",1%,63%,#N/A,8%,0%,0,6%,9%,101.88
1902,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,122," 735,915,613.00 "," 6,032,095.19 ",1%,15%,#N/A,15%,0%,0,5%,9%,102.55
